"t1","t2","t3","t4","CF12_34","CF13_24","CF14_23","ngenes"
"BsaATCC15712","BspEniD312","Ddi453","Dic586",0.9867986798679867,0.0033003300330033004,0.009900990099009901,303
"BsaATCC15712","BspEniD312","Ddi453","Dpa2511",0.9716088328075709,0.015772870662460567,0.012618296529968454,317
"BsaATCC15712","BspEniD312","Ddi453","DzeEch1591",0.98,0.013333333333333334,0.006666666666666667,300
"BsaATCC15712","BspEniD312","Ddi453","ECH3937",0.9855595667870036,0.01444043321299639,0.0,277
"BsaATCC15712","BspEniD312","Ddi453","GBAG",0.8611111111111112,0.06944444444444445,0.06944444444444445,504
"BsaATCC15712","BspEniD312","Ddi453","GCDA",0.8615984405458089,0.0682261208576998,0.07017543859649122,513
"BsaATCC15712","BspEniD312","Ddi453","Pae1",0.8518518518518519,0.07407407407407407,0.07407407407407407,297
"BsaATCC15712","BspEniD312","Ddi453","PcaPC1",0.5413533834586466,0.15413533834586465,0.30451127819548873,266
"BsaATCC15712","BspEniD312","Ddi453","PcaPCC21",0.5303030303030303,0.17424242424242425,0.29545454545454547,264
"BsaATCC15712","BspEniD312","Ddi453","PectoSCC3193",0.5088967971530249,0.1494661921708185,0.3416370106761566,281
"BsaATCC15712","BspEniD312","Ddi453","PstDC3000",0.867595818815331,0.06968641114982578,0.0627177700348432,287
"BsaATCC15712","BspEniD312","Ddi453","Pwa43316",0.53515625,0.16015625,0.3046875,256
"BsaATCC15712","BspEniD312","Ddi453","SCRI1043",0.5401459854014599,0.16423357664233576,0.2956204379562044,274
"BsaATCC15712","BspEniD312","Ddi453","VFI114",0.8524590163934426,0.08743169398907104,0.060109289617486336,366
"BsaATCC15712","BspEniD312","Ddi453","VchN16961",0.8722826086956522,0.07065217391304347,0.057065217391304345,368
"BsaATCC15712","BspEniD312","Ddi453","WPP1692",0.5104895104895105,0.2097902097902098,0.27972027972027974,286
"BsaATCC15712","BspEniD312","Dic586","Dpa2511",0.9765100671140939,0.006711409395973154,0.016778523489932886,298
"BsaATCC15712","BspEniD312","Dic586","DzeEch1591",0.9831081081081081,0.010135135135135136,0.006756756756756757,296
"BsaATCC15712","BspEniD312","Dic586","ECH3937",0.992831541218638,0.007168458781362007,0.0,279
"BsaATCC15712","BspEniD312","Dic586","GBAG",0.8755102040816326,0.061224489795918366,0.06326530612244897,490
"BsaATCC15712","BspEniD312","Dic586","GCDA",0.8707753479125249,0.06958250497017893,0.05964214711729622,503
"BsaATCC15712","BspEniD312","Dic586","Pae1",0.8536585365853658,0.08710801393728224,0.059233449477351915,287
"BsaATCC15712","BspEniD312","Dic586","PcaPC1",0.5361216730038023,0.17490494296577946,0.2889733840304182,263
"BsaATCC15712","BspEniD312","Dic586","PcaPCC21",0.5141700404858299,0.18218623481781376,0.30364372469635625,247
"BsaATCC15712","BspEniD312","Dic586","PectoSCC3193",0.5229007633587787,0.16793893129770993,0.30916030534351147,262
"BsaATCC15712","BspEniD312","Dic586","PstDC3000",0.8664259927797834,0.07581227436823104,0.05776173285198556,277
"BsaATCC15712","BspEniD312","Dic586","Pwa43316",0.5487804878048781,0.15853658536585366,0.2926829268292683,246
"BsaATCC15712","BspEniD312","Dic586","SCRI1043",0.5296296296296297,0.1814814814814815,0.28888888888888886,270
"BsaATCC15712","BspEniD312","Dic586","VFI114",0.8649425287356322,0.07183908045977011,0.06321839080459771,348
"BsaATCC15712","BspEniD312","Dic586","VchN16961",0.8681948424068768,0.08022922636103152,0.05157593123209169,349
"BsaATCC15712","BspEniD312","Dic586","WPP1692",0.5338345864661654,0.21052631578947367,0.2556390977443609,266
"BsaATCC15712","BspEniD312","Dpa2511","DzeEch1591",0.9722222222222222,0.010416666666666666,0.017361111111111112,288
"BsaATCC15712","BspEniD312","Dpa2511","ECH3937",0.972027972027972,0.013986013986013986,0.013986013986013986,286
"BsaATCC15712","BspEniD312","Dpa2511","GBAG",0.854043392504931,0.06903353057199212,0.07692307692307693,507
"BsaATCC15712","BspEniD312","Dpa2511","GCDA",0.8546168958742633,0.068762278978389,0.07662082514734773,509
"BsaATCC15712","BspEniD312","Dpa2511","Pae1",0.8615916955017301,0.06920415224913495,0.06920415224913495,289
"BsaATCC15712","BspEniD312","Dpa2511","PcaPC1",0.5413533834586466,0.17293233082706766,0.2857142857142857,266
"BsaATCC15712","BspEniD312","Dpa2511","PcaPCC21",0.5229007633587787,0.1946564885496183,0.2824427480916031,262
"BsaATCC15712","BspEniD312","Dpa2511","PectoSCC3193",0.5151515151515151,0.14393939393939395,0.3409090909090909,264
"BsaATCC15712","BspEniD312","Dpa2511","PstDC3000",0.8623188405797102,0.06159420289855073,0.07608695652173914,276
"BsaATCC15712","BspEniD312","Dpa2511","Pwa43316",0.5147058823529411,0.1801470588235294,0.30514705882352944,272
"BsaATCC15712","BspEniD312","Dpa2511","SCRI1043",0.5539033457249071,0.1821561338289963,0.26394052044609667,269
"BsaATCC15712","BspEniD312","Dpa2511","VFI114",0.8662952646239555,0.06963788300835655,0.06406685236768803,359
"BsaATCC15712","BspEniD312","Dpa2511","VchN16961",0.8657534246575342,0.07123287671232877,0.06301369863013699,365
"BsaATCC15712","BspEniD312","Dpa2511","WPP1692",0.5127272727272727,0.21818181818181817,0.2690909090909091,275
"BsaATCC15712","BspEniD312","DzeEch1591","ECH3937",0.9758620689655172,0.017241379310344827,0.006896551724137931,290
"BsaATCC15712","BspEniD312","DzeEch1591","GBAG",0.8650793650793651,0.06547619047619048,0.06944444444444445,504
"BsaATCC15712","BspEniD312","DzeEch1591","GCDA",0.8551587301587301,0.07539682539682539,0.06944444444444445,504
"BsaATCC15712","BspEniD312","DzeEch1591","Pae1",0.8506944444444444,0.09375,0.05555555555555555,288
"BsaATCC15712","BspEniD312","DzeEch1591","PcaPC1",0.49615384615384617,0.17692307692307693,0.3269230769230769,260
"BsaATCC15712","BspEniD312","DzeEch1591","PcaPCC21",0.49056603773584906,0.1811320754716981,0.3283018867924528,265
"BsaATCC15712","BspEniD312","DzeEch1591","PectoSCC3193",0.5,0.16296296296296298,0.337037037037037,270
"BsaATCC15712","BspEniD312","DzeEch1591","PstDC3000",0.8706293706293706,0.07342657342657342,0.055944055944055944,286
"BsaATCC15712","BspEniD312","DzeEch1591","Pwa43316",0.540650406504065,0.17073170731707318,0.2886178861788618,246
"BsaATCC15712","BspEniD312","DzeEch1591","SCRI1043",0.5512367491166078,0.16607773851590105,0.2826855123674912,283
"BsaATCC15712","BspEniD312","DzeEch1591","VFI114",0.8476454293628809,0.08587257617728532,0.0664819944598338,361
"BsaATCC15712","BspEniD312","DzeEch1591","VchN16961",0.8641304347826086,0.07336956521739131,0.0625,368
"BsaATCC15712","BspEniD312","DzeEch1591","WPP1692",0.4981684981684982,0.21245421245421245,0.2893772893772894,273
"BsaATCC15712","BspEniD312","ECH3937","GBAG",0.8814968814968815,0.0498960498960499,0.06860706860706861,481
"BsaATCC15712","BspEniD312","ECH3937","GCDA",0.8719512195121951,0.056910569105691054,0.07113821138211382,492
"BsaATCC15712","BspEniD312","ECH3937","Pae1",0.8724137931034482,0.06206896551724138,0.06551724137931035,290
"BsaATCC15712","BspEniD312","ECH3937","PcaPC1",0.5069444444444444,0.17708333333333334,0.3159722222222222,288
"BsaATCC15712","BspEniD312","ECH3937","PcaPCC21",0.5177865612648221,0.16996047430830039,0.31225296442687744,253
"BsaATCC15712","BspEniD312","ECH3937","PectoSCC3193",0.4745098039215686,0.16862745098039217,0.3568627450980392,255
"BsaATCC15712","BspEniD312","ECH3937","PstDC3000",0.9018181818181819,0.04363636363636364,0.05454545454545454,275
"BsaATCC15712","BspEniD312","ECH3937","Pwa43316",0.5082644628099173,0.1859504132231405,0.30578512396694213,242
"BsaATCC15712","BspEniD312","ECH3937","SCRI1043",0.5232558139534884,0.16279069767441862,0.313953488372093,258
"BsaATCC15712","BspEniD312","ECH3937","VFI114",0.8786127167630058,0.05491329479768786,0.06647398843930635,346
"BsaATCC15712","BspEniD312","ECH3937","VchN16961",0.8731988472622478,0.06628242074927954,0.06051873198847262,347
"BsaATCC15712","BspEniD312","ECH3937","WPP1692",0.4888888888888889,0.2,0.3111111111111111,270
"BsaATCC15712","BspEniD312","GBAG","GCDA",0.9899749373433584,0.006265664160401002,0.0037593984962406013,798
"BsaATCC15712","BspEniD312","GBAG","Pae1",0.9486081370449678,0.02569593147751606,0.02569593147751606,467
"BsaATCC15712","BspEniD312","GBAG","PcaPC1",0.5284738041002278,0.1480637813211845,0.3234624145785877,439
"BsaATCC15712","BspEniD312","GBAG","PcaPCC21",0.5193236714975845,0.15217391304347827,0.3285024154589372,414
"BsaATCC15712","BspEniD312","GBAG","PectoSCC3193",0.5203619909502263,0.1515837104072398,0.32805429864253394,442
"BsaATCC15712","BspEniD312","GBAG","PstDC3000",0.9486607142857143,0.024553571428571428,0.026785714285714284,448
"BsaATCC15712","BspEniD312","GBAG","Pwa43316",0.5432098765432098,0.14320987654320988,0.3135802469135803,405
"BsaATCC15712","BspEniD312","GBAG","SCRI1043",0.5517241379310345,0.1425287356321839,0.3057471264367816,435
"BsaATCC15712","BspEniD312","GBAG","VFI114",0.968141592920354,0.01592920353982301,0.01592920353982301,565
"BsaATCC15712","BspEniD312","GBAG","VchN16961",0.9628378378378378,0.015202702702702704,0.02195945945945946,592
"BsaATCC15712","BspEniD312","GBAG","WPP1692",0.5253456221198156,0.1728110599078341,0.30184331797235026,434
"BsaATCC15712","BspEniD312","GCDA","Pae1",0.9460043196544277,0.028077753779697623,0.02591792656587473,463
"BsaATCC15712","BspEniD312","GCDA","PcaPC1",0.5165562913907285,0.16556291390728478,0.31788079470198677,453
"BsaATCC15712","BspEniD312","GCDA","PcaPCC21",0.5096153846153846,0.15625,0.33413461538461536,416
"BsaATCC15712","BspEniD312","GCDA","PectoSCC3193",0.5046948356807511,0.1596244131455399,0.33568075117370894,426
"BsaATCC15712","BspEniD312","GCDA","PstDC3000",0.9389978213507625,0.02832244008714597,0.032679738562091505,459
"BsaATCC15712","BspEniD312","GCDA","Pwa43316",0.5301507537688442,0.15577889447236182,0.314070351758794,398
"BsaATCC15712","BspEniD312","GCDA","SCRI1043",0.546485260770975,0.14512471655328799,0.30839002267573695,441
"BsaATCC15712","BspEniD312","GCDA","VFI114",0.9612676056338029,0.02464788732394366,0.014084507042253521,568
"BsaATCC15712","BspEniD312","GCDA","VchN16961",0.9573378839590444,0.02218430034129693,0.020477815699658702,586
"BsaATCC15712","BspEniD312","GCDA","WPP1692",0.5242494226327945,0.18706697459584296,0.28868360277136257,433
"BsaATCC15712","BspEniD312","Pae1","PcaPC1",0.516,0.16,0.324,250
"BsaATCC15712","BspEniD312","Pae1","PcaPCC21",0.5306122448979592,0.14285714285714285,0.32653061224489793,245
"BsaATCC15712","BspEniD312","Pae1","PectoSCC3193",0.5265306122448979,0.12653061224489795,0.3469387755102041,245
"BsaATCC15712","BspEniD312","Pae1","PstDC3000",1.0,0.0,0.0,349
"BsaATCC15712","BspEniD312","Pae1","Pwa43316",0.5168067226890757,0.15126050420168066,0.3319327731092437,238
"BsaATCC15712","BspEniD312","Pae1","SCRI1043",0.5354330708661418,0.13385826771653545,0.33070866141732286,254
"BsaATCC15712","BspEniD312","Pae1","VFI114",0.9855072463768116,0.002898550724637681,0.011594202898550725,345
"BsaATCC15712","BspEniD312","Pae1","VchN16961",0.9771428571428571,0.005714285714285714,0.017142857142857144,350
"BsaATCC15712","BspEniD312","Pae1","WPP1692",0.5078740157480315,0.16141732283464566,0.33070866141732286,254
"BsaATCC15712","BspEniD312","PcaPC1","PcaPCC21",0.9775784753363229,0.004484304932735426,0.017937219730941704,223
"BsaATCC15712","BspEniD312","PcaPC1","PectoSCC3193",0.9612068965517241,0.008620689655172414,0.03017241379310345,232
"BsaATCC15712","BspEniD312","PcaPC1","PstDC3000",0.5527426160337553,0.3037974683544304,0.14345991561181434,237
"BsaATCC15712","BspEniD312","PcaPC1","Pwa43316",0.9595959595959596,0.025252525252525252,0.015151515151515152,198
"BsaATCC15712","BspEniD312","PcaPC1","SCRI1043",0.9783549783549783,0.004329004329004329,0.017316017316017316,231
"BsaATCC15712","BspEniD312","PcaPC1","VFI114",0.48562300319488816,0.3546325878594249,0.1597444089456869,313
"BsaATCC15712","BspEniD312","PcaPC1","VchN16961",0.4875,0.35,0.1625,320
"BsaATCC15712","BspEniD312","PcaPC1","WPP1692",0.9554455445544554,0.009900990099009901,0.034653465346534656,202
"BsaATCC15712","BspEniD312","PcaPCC21","PectoSCC3193",0.9746192893401016,0.005076142131979695,0.02030456852791878,197
"BsaATCC15712","BspEniD312","PcaPCC21","PstDC3000",0.5403225806451613,0.29435483870967744,0.16532258064516128,248
"BsaATCC15712","BspEniD312","PcaPCC21","Pwa43316",0.9574468085106383,0.015957446808510637,0.026595744680851064,188
"BsaATCC15712","BspEniD312","PcaPCC21","SCRI1043",0.96875,0.013392857142857142,0.017857142857142856,224
"BsaATCC15712","BspEniD312","PcaPCC21","VFI114",0.494949494949495,0.3434343434343434,0.16161616161616163,297
"BsaATCC15712","BspEniD312","PcaPCC21","VchN16961",0.4948453608247423,0.32989690721649484,0.17525773195876287,291
"BsaATCC15712","BspEniD312","PcaPCC21","WPP1692",0.9753694581280788,0.019704433497536946,0.0049261083743842365,203
"BsaATCC15712","BspEniD312","PectoSCC3193","PstDC3000",0.545045045045045,0.32432432432432434,0.13063063063063063,222
"BsaATCC15712","BspEniD312","PectoSCC3193","Pwa43316",0.9690721649484536,0.020618556701030927,0.010309278350515464,194
"BsaATCC15712","BspEniD312","PectoSCC3193","SCRI1043",0.9752475247524752,0.019801980198019802,0.0049504950495049506,202
"BsaATCC15712","BspEniD312","PectoSCC3193","VFI114",0.5114754098360655,0.34098360655737703,0.14754098360655737,305
"BsaATCC15712","BspEniD312","PectoSCC3193","VchN16961",0.50920245398773,0.35276073619631904,0.13803680981595093,326
"BsaATCC15712","BspEniD312","PectoSCC3193","WPP1692",0.970873786407767,0.0048543689320388345,0.024271844660194174,206
"BsaATCC15712","BspEniD312","PstDC3000","Pwa43316",0.5478260869565217,0.17391304347826086,0.2782608695652174,230
"BsaATCC15712","BspEniD312","PstDC3000","SCRI1043",0.5714285714285714,0.13877551020408163,0.2897959183673469,245
"BsaATCC15712","BspEniD312","PstDC3000","VFI114",0.981651376146789,0.0061162079510703364,0.012232415902140673,327
"BsaATCC15712","BspEniD312","PstDC3000","VchN16961",0.9786585365853658,0.009146341463414634,0.012195121951219513,328
"BsaATCC15712","BspEniD312","PstDC3000","WPP1692",0.5555555555555556,0.1626984126984127,0.28174603174603174,252
"BsaATCC15712","BspEniD312","Pwa43316","SCRI1043",0.9796954314720813,0.02030456852791878,0.0,197
"BsaATCC15712","BspEniD312","Pwa43316","VFI114",0.5,0.34532374100719426,0.15467625899280577,278
"BsaATCC15712","BspEniD312","Pwa43316","VchN16961",0.5186440677966102,0.33220338983050846,0.14915254237288136,295
"BsaATCC15712","BspEniD312","Pwa43316","WPP1692",0.955,0.02,0.025,200
"BsaATCC15712","BspEniD312","SCRI1043","VFI114",0.4769736842105263,0.3618421052631579,0.1611842105263158,304
"BsaATCC15712","BspEniD312","SCRI1043","VchN16961",0.5078864353312302,0.3470031545741325,0.14511041009463724,317
"BsaATCC15712","BspEniD312","SCRI1043","WPP1692",0.9638009049773756,0.01809954751131222,0.01809954751131222,221
"BsaATCC15712","BspEniD312","VFI114","VchN16961",1.0,0.0,0.0,467
"BsaATCC15712","BspEniD312","VFI114","WPP1692",0.4984025559105431,0.18210862619808307,0.3194888178913738,313
"BsaATCC15712","BspEniD312","VchN16961","WPP1692",0.5232198142414861,0.17647058823529413,0.30030959752321984,323
"BsaATCC15712","Ddi453","Dic586","Dpa2511",0.06951871657754011,0.08021390374331551,0.8502673796791443,187
"BsaATCC15712","Ddi453","Dic586","DzeEch1591",0.5567567567567567,0.2702702702702703,0.17297297297297298,185
"BsaATCC15712","Ddi453","Dic586","ECH3937",0.09876543209876543,0.7530864197530864,0.14814814814814814,162
"BsaATCC15712","Ddi453","Dic586","GBAG",0.012422360248447204,0.015527950310559006,0.9720496894409938,322
"BsaATCC15712","Ddi453","Dic586","GCDA",0.011940298507462687,0.008955223880597015,0.9791044776119403,335
"BsaATCC15712","Ddi453","Dic586","Pae1",0.01015228426395939,0.025380710659898477,0.9644670050761421,197
"BsaATCC15712","Ddi453","Dic586","PcaPC1",0.011904761904761904,0.005952380952380952,0.9821428571428571,168
"BsaATCC15712","Ddi453","Dic586","PcaPCC21",0.0,0.013071895424836602,0.9869281045751634,153
"BsaATCC15712","Ddi453","Dic586","PectoSCC3193",0.005555555555555556,0.022222222222222223,0.9722222222222222,180
"BsaATCC15712","Ddi453","Dic586","PstDC3000",0.005376344086021506,0.016129032258064516,0.978494623655914,186
"BsaATCC15712","Ddi453","Dic586","Pwa43316",0.0,0.018518518518518517,0.9814814814814815,162
"BsaATCC15712","Ddi453","Dic586","SCRI1043",0.005405405405405406,0.010810810810810811,0.9837837837837838,185
"BsaATCC15712","Ddi453","Dic586","VFI114",0.012605042016806723,0.01680672268907563,0.9705882352941176,238
"BsaATCC15712","Ddi453","Dic586","VchN16961",0.01327433628318584,0.008849557522123894,0.9778761061946902,226
"BsaATCC15712","Ddi453","Dic586","WPP1692",0.005747126436781609,0.011494252873563218,0.9827586206896551,174
"BsaATCC15712","Ddi453","Dpa2511","DzeEch1591",0.08465608465608465,0.8624338624338624,0.05291005291005291,189
"BsaATCC15712","Ddi453","Dpa2511","ECH3937",0.060240963855421686,0.9036144578313253,0.03614457831325301,166
"BsaATCC15712","Ddi453","Dpa2511","GBAG",0.051515151515151514,0.030303030303030304,0.9181818181818182,330
"BsaATCC15712","Ddi453","Dpa2511","GCDA",0.05555555555555555,0.02631578947368421,0.9181286549707602,342
"BsaATCC15712","Ddi453","Dpa2511","Pae1",0.07142857142857142,0.04081632653061224,0.8877551020408163,196
"BsaATCC15712","Ddi453","Dpa2511","PcaPC1",0.017857142857142856,0.023809523809523808,0.9583333333333334,168
"BsaATCC15712","Ddi453","Dpa2511","PcaPCC21",0.011299435028248588,0.01694915254237288,0.9717514124293786,177
"BsaATCC15712","Ddi453","Dpa2511","PectoSCC3193",0.011111111111111112,0.027777777777777776,0.9611111111111111,180
"BsaATCC15712","Ddi453","Dpa2511","PstDC3000",0.0855614973262032,0.0427807486631016,0.8716577540106952,187
"BsaATCC15712","Ddi453","Dpa2511","Pwa43316",0.005555555555555556,0.022222222222222223,0.9722222222222222,180
"BsaATCC15712","Ddi453","Dpa2511","SCRI1043",0.0056179775280898875,0.016853932584269662,0.9775280898876404,178
"BsaATCC15712","Ddi453","Dpa2511","VFI114",0.08050847457627118,0.0423728813559322,0.8771186440677966,236
"BsaATCC15712","Ddi453","Dpa2511","VchN16961",0.05,0.05416666666666667,0.8958333333333334,240
"BsaATCC15712","Ddi453","Dpa2511","WPP1692",0.011363636363636364,0.017045454545454544,0.9715909090909091,176
"BsaATCC15712","Ddi453","DzeEch1591","ECH3937",0.17073170731707318,0.6890243902439024,0.1402439024390244,164
"BsaATCC15712","Ddi453","DzeEch1591","GBAG",0.018518518518518517,0.015432098765432098,0.9660493827160493,324
"BsaATCC15712","Ddi453","DzeEch1591","GCDA",0.021212121212121213,0.012121212121212121,0.9666666666666667,330
"BsaATCC15712","Ddi453","DzeEch1591","Pae1",0.031413612565445025,0.020942408376963352,0.9476439790575916,191
"BsaATCC15712","Ddi453","DzeEch1591","PcaPC1",0.006060606060606061,0.01818181818181818,0.9757575757575757,165
"BsaATCC15712","Ddi453","DzeEch1591","PcaPCC21",0.011764705882352941,0.011764705882352941,0.9764705882352941,170
"BsaATCC15712","Ddi453","DzeEch1591","PectoSCC3193",0.011428571428571429,0.011428571428571429,0.9771428571428571,175
"BsaATCC15712","Ddi453","DzeEch1591","PstDC3000",0.016666666666666666,0.022222222222222223,0.9611111111111111,180
"BsaATCC15712","Ddi453","DzeEch1591","Pwa43316",0.011904761904761904,0.005952380952380952,0.9821428571428571,168
"BsaATCC15712","Ddi453","DzeEch1591","SCRI1043",0.0,0.0,1.0,188
"BsaATCC15712","Ddi453","DzeEch1591","VFI114",0.02531645569620253,0.016877637130801686,0.9578059071729957,237
"BsaATCC15712","Ddi453","DzeEch1591","VchN16961",0.017094017094017096,0.021367521367521368,0.9615384615384616,234
"BsaATCC15712","Ddi453","DzeEch1591","WPP1692",0.011363636363636364,0.011363636363636364,0.9772727272727273,176
"BsaATCC15712","Ddi453","ECH3937","GBAG",0.013468013468013467,0.003367003367003367,0.9831649831649831,297
"BsaATCC15712","Ddi453","ECH3937","GCDA",0.012944983818770227,0.0,0.9870550161812298,309
"BsaATCC15712","Ddi453","ECH3937","Pae1",0.02702702702702703,0.005405405405405406,0.9675675675675676,185
"BsaATCC15712","Ddi453","ECH3937","PcaPC1",0.0055248618784530384,0.0,0.994475138121547,181
"BsaATCC15712","Ddi453","ECH3937","PcaPCC21",0.006211180124223602,0.0,0.9937888198757764,161
"BsaATCC15712","Ddi453","ECH3937","PectoSCC3193",0.012269938650306749,0.0,0.9877300613496932,163
"BsaATCC15712","Ddi453","ECH3937","PstDC3000",0.0111731843575419,0.00558659217877095,0.9832402234636871,179
"BsaATCC15712","Ddi453","ECH3937","Pwa43316",0.006289308176100629,0.0,0.9937106918238994,159
"BsaATCC15712","Ddi453","ECH3937","SCRI1043",0.006134969325153374,0.0,0.9938650306748467,163
"BsaATCC15712","Ddi453","ECH3937","VFI114",0.01818181818181818,0.00909090909090909,0.9727272727272728,220
"BsaATCC15712","Ddi453","ECH3937","VchN16961",0.014285714285714285,0.004761904761904762,0.9809523809523809,210
"BsaATCC15712","Ddi453","ECH3937","WPP1692",0.005988023952095809,0.0,0.9940119760479041,167
"BsaATCC15712","Ddi453","GBAG","GCDA",0.9851301115241635,0.007434944237918215,0.007434944237918215,538
"BsaATCC15712","Ddi453","GBAG","Pae1",0.8256880733944955,0.10397553516819572,0.07033639143730887,327
"BsaATCC15712","Ddi453","GBAG","PcaPC1",0.09897610921501707,0.06143344709897611,0.8395904436860068,293
"BsaATCC15712","Ddi453","GBAG","PcaPCC21",0.11231884057971014,0.06159420289855073,0.8260869565217391,276
"BsaATCC15712","Ddi453","GBAG","PectoSCC3193",0.10299003322259136,0.07308970099667775,0.8239202657807309,301
"BsaATCC15712","Ddi453","GBAG","PstDC3000",0.8231511254019293,0.10610932475884244,0.0707395498392283,311
"BsaATCC15712","Ddi453","GBAG","Pwa43316",0.09386281588447654,0.05776173285198556,0.8483754512635379,277
"BsaATCC15712","Ddi453","GBAG","SCRI1043",0.09634551495016612,0.05647840531561462,0.8471760797342193,301
"BsaATCC15712","Ddi453","GBAG","VFI114",0.8720626631853786,0.07571801566579635,0.05221932114882506,383
"BsaATCC15712","Ddi453","GBAG","VchN16961",0.8524173027989822,0.08396946564885496,0.06361323155216285,393
"BsaATCC15712","Ddi453","GBAG","WPP1692",0.11888111888111888,0.06993006993006994,0.8111888111888111,286
