"t1","t2","t3","t4","CF12_34","CF13_24","CF14_23"
"10","12","7","9",0.20134148013565853,0.11487500845931979,0.6837835114050218
"10","12","9","15",0.11607528889288768,0.8310614780970805,0.05286323301003189
"10","12","13","15",0.05286323301003188,0.05286323301003188,0.8942735339799363
"10","12","11","13",0.11487500845931978,0.7702499830813605,0.11487500845931978
"10","12","5","13",0.05286323301003188,0.8942735339799363,0.05286323301003188
"10","12","8","15",0.11607528889288768,0.8310614780970805,0.05286323301003189
"10","12","13","14",0.05286323301003188,0.05286323301003188,0.8942735339799363
"10","12","3","1",0.9490410430561655,0.025479478471917255,0.025479478471917255
"10","12","4","2",0.9828659629350254,0.008567018532487322,0.008567018532487322
"10","12","5","9",0.11607528889288768,0.05286323301003189,0.8310614780970805
"10","12","11","15",0.12262648039048077,0.18583853627333657,0.6915349833361828
"10","12","2","1",0.9490410430561655,0.025479478471917255,0.025479478471917255
"10","12","4","1",0.9490410430561655,0.025479478471917255,0.025479478471917255
"10","12","2","6",0.9822637160020834,0.008868141998958298,0.008868141998958298
"10","12","7","2",0.18583853627333657,0.6915349833361828,0.12262648039048077
"10","12","5","2",0.9827039937888642,0.008648003105567887,0.008648003105567887
"10","12","8","14",0.11607528889288768,0.8310614780970805,0.05286323301003189
"10","12","4","15",0.9490410430561655,0.025479478471917255,0.025479478471917255
"10","12","7","13",0.027198768549407254,0.9456024629011854,0.027198768549407254
"10","11","7","6",0.20134148013565853,0.6837835114050218,0.11487500845931979
"10","12","3","13",0.05286323301003188,0.8942735339799363,0.05286323301003188
"10","12","7","5",0.18583853627333657,0.6915349833361828,0.12262648039048077
"10","12","13","9",0.017757339705668337,0.017757339705668337,0.9644853205886633
"10","12","1","15",0.9885614202001538,0.005719289899923104,0.005719289899923104
"10","12","8","2",0.11607528889288768,0.8310614780970805,0.05286323301003189
"10","12","5","3",0.9827039937888642,0.008648003105567887,0.008648003105567887
"10","12","3","9",0.11607528889288768,0.05286323301003189,0.8310614780970805
"10","11","4","3",0.9832912908063243,0.008354354596837844,0.008354354596837844
"10","12","8","1",0.11607528889288768,0.8310614780970805,0.05286323301003189
"10","11","8","6",0.13157823275520963,0.8233100061659195,0.045111761078870896
"10","12","4","6",0.9930349079676076,0.0034825460161961854,0.0034825460161961854
"10","11","8","4",0.13157823275520963,0.8233100061659195,0.045111761078870896
"10","12","11","14",0.12262648039048077,0.18583853627333657,0.6915349833361828
"10","11","8","3",0.13157823275520963,0.8233100061659195,0.045111761078870896
"10","12","9","6",0.11607528889288768,0.8310614780970805,0.05286323301003189
"10","12","7","3",0.18583853627333657,0.6915349833361828,0.12262648039048077
"10","12","9","14",0.11607528889288768,0.8310614780970805,0.05286323301003189
"10","12","9","2",0.11607528889288768,0.8310614780970805,0.05286323301003189
"10","12","9","1",0.11607528889288768,0.8310614780970805,0.05286323301003189
"10","12","11","8",0.02719876854940726,0.09041082443226305,0.8823904070183297
"10","12","7","6",0.18583853627333657,0.6915349833361828,0.12262648039048077
"10","12","8","5",0.11607528889288768,0.8310614780970805,0.05286323301003189
