"comboName","Hmax","Nfail","FtolRel","FtolAbs","XtolAbs","XtolRel","LiktolAbs","Seed","Loglik","RunTime","TrueTopo"
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"32899","66.88452831179269",16275.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"4776","8.530546989236196",9113.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"81677","64.2517290283422",14367.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"18141","1968.2557307971929",41315.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"81045","66.88415167512586",16108.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"77263","34.81569569816432",20760.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"97416","0.3450948328096377",24829.0,1
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"52016","66.88425427180951",19036.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"40620","0.9289840882531357",8280.0,1
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"51597","0.0042990678881561495",33937.0,1
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"31888","0.00220087840462227",22669.0,1
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"34509","2596.0464993821215",13503.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"37527","34.86688328156665",14712.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"34071","83.05771241461754",11092.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"98303","103.86129381486214",17424.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"28596","34.77314339056004",17597.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"34888","0.14504480768187075",25339.0,1
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"23350","34.829149593482555",17604.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"51140","99.20281231555535",7095.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"42527","66.88489545648558",16072.0,0
"31001.0e-50.00010.0010.0010.01",3,100,1.0e-5,0.0001,0.001,0.001,0.01,"269","98.38719733691582",12870.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"99600","9.387130487973414",25423.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"61645","0.4399211747911363",16774.0,1
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"51328","0.15333650846612493",10485.0,1
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"55932","34.869366546155995",7162.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"69861","34.86626269206554",16735.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"65378","0.25032812865350823",4040.0,1
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"47665","34.847670304652596",19084.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"92024","0.00013974846605053993",12114.0,1
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"34468","0.006635870190760751",22743.0,1
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"12604","2515.9588779277956",13462.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"26170","0.12467530948435605",38699.0,1
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"24152","254.57791176770075",4969.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"10912","82.94030586421995",14155.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"48887","0.1410078394074776",24705.0,1
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"86726","35.61452426706979",22765.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"60797","0.004280144692840133",31948.0,1
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"3109","8.54405266757971",15910.0,1
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"50939","0.004175935163098655",22584.0,1
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"25375","81.55455608387793",12203.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"80502","90.50718120101087",10325.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"25944","82.20073810562751",11350.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"28300","66.88520964431235",15902.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"13066","10.192621908794385",21102.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"91290","106.03803286143096",4783.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"74637","34.91522905442377",13041.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"37921","66.88382036841577",14216.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"86098","34.87315580626751",21803.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"26309","34.86713803370641",17941.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"95629","34.866879898876746",28031.0,0
"31001.0e-50.00010.0010.0011.0",3,100,1.0e-5,0.0001,0.001,0.001,1.0,"36901","7.856193880534897",19849.0,1
"31001.0e-50.0010.0010.0010.001",3,100,1.0e-5,0.001,0.001,0.001,0.001,"43189","2927.0294157693734",31700.0,0
"31001.0e-50.0010.0010.0010.001",3,100,1.0e-5,0.001,0.001,0.001,0.001,"42824","34.86952730007959",5070.0,0
"31001.0e-50.0010.0010.0010.001",3,100,1.0e-5,0.001,0.001,0.001,0.001,"97752","108.43612430172087",42094.0,0
"31001.0e-50.0010.0010.0010.001",3,100,1.0e-5,0.001,0.001,0.001,0.001,"33555","0.014147833069659955",24118.0,1
"31001.0e-50.0010.0010.0010.001",3,100,1.0e-5,0.001,0.001,0.001,0.001,"87046","10.486785866907349",13770.0,0
"31001.0e-50.0010.0010.0010.001",3,100,1.0e-5,0.001,0.001,0.001,0.001,"86867","34.82302445616645",13911.0,0
"31001.0e-50.0010.0010.0010.001",3,100,1.0e-5,0.001,0.001,0.001,0.001,"23952","34.86748848523478",30513.0,0
"31001.0e-50.0010.0010.0010.001",3,100,1.0e-5,0.001,0.001,0.001,0.001,"92256","0.03833712874913908",29215.0,1
